,depth,magnitude
0,143.52,5.2
1,10.0,5.1
2,63.0,2.5
3,61.25,4.2
4,589.03,4.9
5,1.18,3.32
6,38.06,4.4
7,6.28,2.9
8,119.7,2.7
9,19.57,4.8
10,6.77,5.3
11,67.1,2.6
12,10.0,5.1
13,10.0,4.5
14,8.79,2.57
15,45.26,2.46
16,10.0,5.6
17,-0.54,2.68
18,14.22,5.6
19,33.59,5.0
20,9.68,3.0
21,9.17,3.01
22,35.0,4.6
23,32.02,5.4
24,20.76,4.6
25,231.64,4.8
26,19.63,5.0
27,10.0,4.9
28,5.0,3.1
29,8.87,5.4
30,43.572,3.01
31,85.6,2.5
32,92.58,4.8
33,9.5,3.4
34,7.0,2.7
35,54.73,4.0
36,10.0,4.5
37,0.1,2.6
38,49.7,2.5
39,101.9,3.7
40,184.7,2.5
41,10.0,5.2
42,5.0,3.1
43,53.79,4.5
44,3.62,3.4
45,207.64,4.2
46,0.0,2.7
47,3.49,3.13
48,34.5,2.8
49,10.0,4.5
50,11.6,2.6
51,132.55,4.6
52,0.0,2.9
53,12.8,2.8
54,3.23,2.7
55,49.4,2.5
56,10.0,5.0
57,0.0,2.6
58,124.2,3.1
59,10.0,5.2
60,36.53,3.6
61,34.7,3.0
62,11.01,4.8
63,6.0,2.6
64,118.29,4.4
65,41.3,2.5
66,15.3,3.29
67,10.0,5.2
68,41.0,3.0
69,127.27,4.3
70,10.0,4.2
71,125.0,3.7
72,8.04,4.0
73,143.7,2.6
74,3.02,2.66
75,87.2,2.7
76,44.32,4.2
77,10.0,4.8
78,59.0,3.2
79,66.0,2.7
80,11.23,4.1
81,581.6,4.7
82,166.07,4.9
83,52.64,4.8
84,42.5,4.2
85,10.0,4.6
86,5.38,2.8
87,93.47,4.6
88,316.2,4.3
89,159.09,4.4
90,33.85,4.7
91,7.75,2.5
92,49.95,4.7
93,8.0,2.8
94,35.0,4.6
95,18.0,2.5
96,77.61,4.6
97,10.277,2.88
98,39.16,5.8
99,112.1,3.0
100,29.51,2.74
101,31.33,3.68
102,3.85,2.9
103,14.91,4.8
104,11.61,3.37
105,9.0,2.7
106,46.09,4.4
107,6.0,3.0
108,8.62,3.42
109,173.5,5.0
110,66.0,2.5
111,55.0,2.8
112,35.0,4.9
113,16.72,4.7
114,10.0,4.8
115,7.72,4.2
116,35.1,3.5
117,18.2,3.5
118,10.0,5.1
119,7.127,2.5
120,46.0,3.5
121,110.6,2.6
122,16.55,4.4
123,87.5,2.5
124,97.6,2.5
125,144.0,3.4
126,10.8,2.8
127,75.0,3.6
128,10.0,4.9
129,219.62,4.4
130,38.0,3.2
131,31.305,2.54
132,22.5,3.6
133,558.05,4.9
134,178.23,4.8
135,1.35,2.9
136,285.44,4.4
137,41.35,4.7
138,64.97,5.2
139,67.37,4.0
140,97.9,3.1
141,26.2,2.8
142,7.06,3.3
143,10.0,4.8
144,10.0,4.5
145,38.34,5.3
146,106.02,4.7
147,11.19,3.6
148,157.6,2.5
149,191.67,4.5
150,34.11,4.4
151,13.76,2.77
152,32.349,2.77
153,69.72,4.3
154,4.1,2.8
155,31.46,4.9
156,38.84,4.1
157,10.0,4.7
158,46.51,4.6
159,159.96,4.4
160,189.14,4.5
161,10.0,3.9
162,84.0,3.1
163,96.77,4.6
164,26.77,4.4
165,9.9,2.8
166,205.12,4.6
167,23.75,4.9
168,10.0,5.1
169,2.2,2.6
170,35.72,3.7
171,3.0,2.6
172,10.8,2.8
173,16.5,2.56
174,2.562,2.74
175,32.0,3.5
176,154.29,4.7
177,47.32,4.8
178,116.58,4.7
179,15.0,2.7
180,16.89,3.9
181,45.0,2.6
182,10.37,3.0
183,134.94,4.4
184,21.7,3.2
185,18.61,4.6
