,MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
0,32.4,6.71,70608,69.65,38.8,22,33.6,1.33,1.16,1.18,2.04,1.57,1.66,0.54,0.36,0.41,All
0,31.69,6.61,51414,71.12,37.9,21.6,32.9,1.29,1.15,1.17,1.92,1.54,1.62,0.48,0.34,0.38,Wkd
0,34.31,6.61,19194,65.99,40.4,24,35.6,1.19,1.15,1.18,1.84,1.59,1.71,0.54,0.39,0.45,Wend
0,27.99,7.6,7857,87.3,36.2,18.9,28,1.29,,,1.92,,,0.48,,,WkdAM
0,32.37,5.19,17258,95.5,37.2,24.2,33.5,,1.15,,,1.54,,,0.34,,WkdMD
0,29.5,5.59,8557,94.7,34.6,21.3,30.3,,,1.17,,,1.62,,,0.38,WkdPM
,,,,,,,,,,,,,,,,,
,MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
,31.08,11.11,17783.99,16.92,40.97,15.21,,1.41,1.29,1.31,3.40,2.64,2.82,1.39,1.03,1.14,All
,30.61,10.99,15009.23,20.52,40.35,15.02,,1.41,1.29,1.30,3.36,2.63,2.74,,,,Wkd
,33.50,11.32,2587.00,8.64,43.14,,,,,,,,,,,,Wend
,27.68,10.80,2455.56,31.62,,12.03,32.68,,,,,,,,,,WkdAM
,31.47,10.80,6793.14,37.15,,16.13,32.68,,,,,,,,,,WkdMD
,29.17,10.67,3307.36,36.17,,14.38,32.68,,,,,,,,,,WkdPM
