Bluetooth,,,,,,,,Bluetooth,,,,,,,,,
MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,Timeframe,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
37.07,7.2,72064,71.09,43.9,24.3,39.6,All,1.21,1.16,1.24,1.86,1.57,2.54,0.54,0.36,1.05,All
37.12,7.37,52562,72.71,43.9,23.3,40,Wkd,1.21,1.13,1.26,1.86,1.54,2.71,0.54,0.36,1.15,Wkd
36.93,6.72,19502,67.04,43.9,26.7,38.7,Wend,1.19,1.18,1.18,1.69,1.51,1.64,0.41,0.28,0.39,Wend
34.36,7.08,7574,84.16,41.4,22.3,36.6,WkdAM,1.21,,,1.86,,,0.54,,,WkdAM
38.34,5.73,17247,95.43,43.4,28.1,40.4,WkdMD,,1.13,,,1.54,,,0.36,,WkdMD
33.72,9.05,8744,96.77,42.6,15.7,37.9,WkdPM,,,1.26,,,2.71,,,1.15,WkdPM
HERE,,,,,,,,HERE,,,,,,,,,
MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe,Timeframe
32.85,10.14,19023.49,18.10,42.94,15.52,,1.34,1.30,1.36,2.96,2.58,3.50,1.20,0.98,1.57,All,All
32.54,10.08,15999.20,21.87,42.80,15.22,,1.33,1.29,1.38,2.93,2.57,3.57,,,,Wkd,Wkd
34.21,10.21,2808.54,9.38,44.44,,,,,,,,,,,,Wend,Wend
30.59,9.45,2419.65,31.64,,14.20,35.32,,,,,,,,,,WkdAM,WkdAM
33.00,9.45,6506.38,35.58,,16.86,35.32,,,,,,,,,,WkdMD,WkdMD
30.46,10.83,3452.39,37.76,,11.85,35.32,,,,,,,,,,WkdPM,WkdPM
