,LINK_DIR,Shape_Leng,geometry,DIR_TRAVEL,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85th_AllMD,PTI_85th_AllMD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85th_AllPM,PTI_85th_AllPM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
0,107030561T,1299.88779934,"LINESTRING (1590857.378648058 185438.0117607266, 1590943.999537811 185536.173309803, 1590990.221886307 185601.6361053884, 1591042.219485715 185674.3711961508, 1591091.349308714 185754.3949862272, 1591131.83544822 185834.4348523915, 1591169.439703718 185914.480295971, 1591209.992772222 186030.9360998124, 1591233.210901633 186121.9329650551, 1591253.554692969 186216.5771327317, 1591265.247911051 186307.5953233987, 1591274.05333963 186394.9773664773, 1591288.75573805 186555.1804581434, 1591291.771808133 186628.0067560673)",T,28.725,38.521,10.562000000000001,16724,15.909,9.984,28.764,38.521,11.183,14292,19.537,9.75,28.244,39.887,2259,7.542000000000001,11.261,27.618000000000002,30.444000000000003,36.967,10.562000000000001,12056,28.253,9.449,29.09,12.425999999999998,29.09,2615,28.598000000000003,9.365,27.675,11.805,27.675,5935,32.453,8.985,26.342,8.698,26.342,2599,28.423000000000002,10.105,1.526,3.6,1.314,3.1,1.359,1.6130000000000002,4.0,1.321,3.278,1.4809999999999999,1.7180000000000002,5.143,1.4080000000000001,4.2139999999999995,1.993,1.3030000000000002,3.05,1.325,3.105,1.392,4.2139999999999995,1.089,2.55,1.3030000000000002,3.05,1.1,2.5789999999999997,1.325,3.105,1.1159999999999999,3.3789999999999996,1.392,4.2139999999999995
1,111986960F,1322.1878984,"LINESTRING (1590889.018020466 185408.8198899776, 1590958.310860887 185485.164225474, 1591039.189308047 185594.2617763132, 1591114.304315299 185703.3698258102, 1591163.454479471 185794.3187908977, 1591203.953414217 185881.6417789757, 1591229.9989658 185943.5009072274, 1591250.288951471 186009.0119310617, 1591270.578609049 186074.5229548961, 1591285.112700716 186143.6865304708, 1591299.646792382 186212.8501060605, 1591311.366913304 186318.4345405549, 1591320.219257802 186431.3080024719, 1591329.085053727 186551.4642582238, 1591332.087344304 186617.007434234)",F,29.081,38.521,13.669,15041,14.308,9.262,28.651999999999997,37.899,13.669,12851,17.567999999999998,9.152999999999999,31.543000000000003,40.819,2032,6.784,9.554,28.085,30.444000000000003,37.278,13.669,11687,27.388,8.9,29.683000000000003,15.532,29.683000000000003,2040,22.31,9.291,28.385,13.669,28.385,6044,33.049,8.543,25.888,11.805,25.888,2914,31.868000000000002,8.857000000000001,1.4980000000000002,2.88,1.311,2.52,0.9229999999999999,1.556,3.2,1.296,2.667,1.057,1.6869999999999998,3.7889999999999997,1.359,3.053,1.247,1.319,2.52,1.291,2.682,1.368,3.0,1.067,2.04,1.319,2.52,1.094,2.273,1.291,2.682,1.08,2.3680000000000003,1.368,3.0
2,111986961F,25.6535014791,"LINESTRING (1591332.087344304 186617.007434234, 1591335.015488058 186642.4932756424)",F,30.519000000000002,40.384,15.532,13263,12.617,9.698,29.936999999999998,39.141999999999996,14.911,11390,15.57,9.411,34.095,44.111999999999995,1740,5.809,10.637,29.374000000000002,31.065,37.899,14.911,10381,24.326999999999998,9.158,31.42,18.018,31.42,1744,19.073,9.126,29.691999999999997,16.154,29.691999999999997,5406,29.56,8.514,26.697,12.425999999999998,26.697,2648,28.959,9.599,1.415,2.572,1.297,2.3569999999999998,0.8170000000000001,1.4809999999999999,2.7689999999999997,1.275,2.385,0.87,1.626,3.512,1.3769999999999998,2.9760000000000004,1.161,1.285,2.241,1.276,2.346,1.3730000000000002,2.95,1.048,1.828,1.285,2.241,1.067,1.9609999999999999,1.276,2.346,1.0590000000000002,2.275,1.3730000000000002,2.95
3,111989989T,67.1177010182,"LINESTRING (1591449.879431561 187996.9557898045, 1591475.922358468 188058.8149180561)",T,29.55,40.384,11.805,14540,13.832,10.943,29.195,39.763000000000005,11.183,12530,17.129,10.742,31.605,43.49100000000001,1864,6.223,11.78,28.105999999999998,31.065,38.521,10.562000000000001,10539,24.698,10.642999999999999,30.976999999999997,15.532,30.976999999999997,2334,25.525,9.606,27.63,10.562000000000001,27.63,5180,28.325,10.609000000000002,25.691,8.698,25.691,2267,24.791999999999998,11.097999999999999,1.4369999999999998,2.88,1.317,2.64,1.005,1.595,4.235,1.374,3.647,1.655,1.704,4.8,1.42,4.0,1.817,1.304,2.6,1.3719999999999999,3.588,1.4269999999999998,4.2139999999999995,1.083,2.16,1.304,2.6,1.084,2.835,1.3719999999999999,3.588,1.088,3.214,1.4269999999999998,4.2139999999999995
4,111996193T,1402.727254,"LINESTRING (1591475.922358468 188058.8149180561, 1591510.661790311 188149.7907859832, 1591562.733864635 188266.225920558, 1591620.553630888 188375.3677626401, 1591681.253968805 188484.504027307, 1591785.234403893 188629.9771615565, 1591897.843102559 188768.1517539769, 1591978.674305722 188859.0442887247, 1592114.314454392 188989.8944207281, 1592206.641369477 189066.2000423968, 1592287.411221057 189124.3190206438, 1592322.027621642 189149.7474474758)",T,26.279,37.278,8.698,15889,15.115,10.877,26.193,37.278,8.698,13542,18.512,10.79,26.569000000000003,37.899,2184,7.292000000000001,11.265999999999998,24.956999999999997,27.958000000000002,36.035,8.077,11489,26.924,10.512,28.941,12.425999999999998,28.941,2480,27.122,9.767000000000001,24.419,8.077,24.419,5615,30.703000000000003,10.349,22.063000000000002,7.456,22.063000000000002,2557,27.964000000000002,10.401,1.54,3.6,1.347,3.15,1.338,1.824,5.537999999999999,1.444,4.385,2.037,2.01,6.0,1.507,4.5,1.986,1.3519999999999999,3.15,1.45,4.385,1.492,4.416,1.095,2.55,1.3519999999999999,3.15,1.119,3.385,1.45,4.385,1.0979999999999999,3.25,1.492,4.416
5,775719628F,419.587517006,"LINESTRING (1591335.015488058 186642.4932756424, 1591355.802848056 186977.4817788899, 1591361.719830975 187061.2276743948)",F,30.174,39.453,14.911,13716,13.048,9.187000000000001,29.624000000000002,38.521,14.911,11687,15.975999999999999,8.978,33.308,42.87,1884,6.29,9.752,29.021,31.065,37.589,14.911,10655,24.97,8.749,31.534000000000002,18.018,31.534000000000002,1768,19.335,8.91,29.465,16.154,29.465,5546,30.326,8.032,25.814,11.805,25.814,2719,29.735,9.136000000000001,1.409,2.483,1.291,2.276,0.762,1.495,2.88,1.2670000000000001,2.44,0.9259999999999999,1.68,3.7889999999999997,1.3530000000000002,3.053,1.256,1.281,2.241,1.265,2.3080000000000003,1.348,2.947,1.06,1.855,1.281,2.241,1.075,1.9609999999999999,1.265,2.3080000000000003,1.083,2.3680000000000003,1.348,2.947
6,775719629F,963.058451293,"LINESTRING (1591361.719830975 187061.2276743948, 1591379.342827216 187243.2748824805, 1591394.064254478 187414.4031491429, 1591402.915942803 187527.276282981, 1591420.404096797 187636.4919438064, 1591443.667173639 187752.9802278876, 1591475.579839468 187873.0938328058, 1591510.353063881 187982.2776695639, 1591519.043007135 188007.7530123144)",F,27.949,37.899,11.805,13850,13.175,9.767000000000001,27.704,37.278,11.805,11750,16.062,9.617,29.112,39.763000000000005,1956,6.53,10.439,27.05,29.822,36.346,11.183,10730,25.145,9.363999999999999,31.293000000000003,17.396,31.293000000000003,1685,18.427,9.152999999999999,27.563000000000002,13.047,27.563000000000002,5592,30.576999999999998,8.564,22.996,8.822000000000001,22.996,2803,30.654,9.262,1.423,2.572,1.285,2.3209999999999997,0.807,1.6219999999999999,3.6,1.307,2.9,1.219,1.893,4.8,1.42,3.6,1.536,1.291,2.3209999999999997,1.307,2.762,1.405,3.662,1.072,1.929,1.291,2.3209999999999997,1.082,2.286,1.307,2.762,1.081,2.8169999999999997,1.405,3.662
7,775719631T,441.237851465,"LINESTRING (1591291.771808133 186628.0067560673, 1591312.633643061 187003.0529219806, 1591315.636261716 187068.596097976)",T,30.809,41.006,14.29,15622,14.860999999999999,9.93,30.428,40.384,14.29,13402,18.320999999999998,9.695,33.131,44.111999999999995,2060,6.877999999999999,10.936,29.4,31.997,39.141999999999996,13.669,11269,26.408,9.562000000000001,31.169,16.154,31.169,2492,27.253,8.897,29.695999999999998,14.911,29.695999999999998,5541,30.299,9.328,26.342,11.183,26.342,2429,26.564,9.954,1.4269999999999998,2.7689999999999997,1.308,2.5380000000000003,0.941,1.492,3.13,1.3259999999999998,2.783,1.0979999999999999,1.6469999999999998,3.7889999999999997,1.4069999999999998,3.237,1.301,1.296,2.5,1.318,2.625,1.392,3.278,1.0759999999999998,2.077,1.296,2.5,1.088,2.167,1.318,2.625,1.085,2.556,1.392,3.278
8,775719632T,941.679654769,"LINESTRING (1591315.636261716 187068.596097976, 1591324.643133476 187265.2256259769, 1591333.542393893 187403.5901786387, 1591348.196564049 187538.3021795601, 1591371.487199888 187669.3567074835, 1591386.080674633 187771.2944957316, 1591406.402484387 187855.0138164759, 1591449.879431561 187996.9557898045)",T,30.403000000000002,40.384,14.29,15780,15.011,9.714,29.895,39.763000000000005,13.669,13528,18.493,9.617,33.422,42.87,2092,6.985,9.746,28.815,31.686,38.521,13.047,11414,26.748,9.467,31.319000000000003,16.775,31.319000000000003,2496,27.296999999999997,8.779,28.93,13.669,28.93,5582,30.523000000000003,9.255,25.515,10.562000000000001,25.515,2496,27.296999999999997,9.791,1.4169999999999998,2.667,1.2990000000000002,2.444,0.8809999999999999,1.5230000000000001,3.273,1.311,2.818,1.149,1.6869999999999998,4.0,1.3940000000000001,3.306,1.371,1.2890000000000001,2.407,1.31,2.773,1.412,3.412,1.071,2.0,1.2890000000000001,2.407,1.095,2.318,1.31,2.773,1.0959999999999999,2.647,1.412,3.412
9,799468412F,1386.30831614,"LINESTRING (1591519.043007135 188007.7530123144, 1591533.508201301 188040.5006502271, 1591565.353281975 188124.1989736408, 1591617.42502822 188240.6341082305, 1591672.35700497 188346.1394746453, 1591735.931680977 188451.6294211447, 1591839.924911305 188604.3860053867, 1591917.889322311 188702.5665833056, 1592033.351361722 188826.1700106412, 1592122.818046302 188913.4054004699, 1592241.112429142 189011.5134719759, 1592347.849748477 189091.4352281392)",F,25.784000000000002,36.657,7.456,13326,12.677,10.917,25.761,36.657,7.456,11246,15.373,10.879000000000001,25.785,37.278,1937,6.4670000000000005,11.042,25.162,28.58,36.035,7.456,10239,23.995,10.687999999999999,28.188000000000002,6.834,28.188000000000002,1645,17.99,11.436,26.205,8.077,26.205,5154,28.182,9.968,21.191,6.524,21.191,2737,29.932,10.321,1.579,6.546,1.4040000000000001,5.818,3.145,1.7209999999999999,5.537999999999999,1.386,4.461,2.219,2.082,7.2,1.5030000000000001,5.2,2.459,1.411,5.818,1.375,4.461,1.495,4.857,1.124,4.637,1.411,5.818,1.138,3.6919999999999997,1.375,4.461,1.114,3.6189999999999998,1.495,4.857
