,LINK_DIR,Shape_Leng,geometry,DIR_TRAVEL,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85thAll_MD,PTI_85thAll_MD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85thAll_PM,PTI_85thAll_PM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
0,27593407F,1418.93617686,"LINESTRING (1589585.767674223 184930.5934842229, 1589758.695149884 184955.7538669705, 1590052.67159605 184998.8935444802, 1590216.968183473 185031.3564060628, 1590303.455215216 185056.6844393909, 1590387.067908883 185085.659447059, 1590502.408557475 185132.7830404788, 1590609.132753477 185194.4896099716, 1590695.68015255 185252.5928402245, 1590767.807632968 185303.4401794821, 1590889.018020466 185408.8198899776)",F,27.87,37.899,11.183,15435,14.683,9.964,27.605,37.713,11.183,13165,17.997,9.812999999999999,29.363000000000003,40.384,2120,7.077999999999999,10.632,26.956,29.386999999999997,36.657,11.183,12054,28.248,9.497,27.930999999999997,13.047,27.930999999999997,1873,20.483,9.98,27.697,11.183,27.697,6429,35.154,9.28,24.26,10.562000000000001,24.26,3002,32.83,8.914,1.59,3.429,1.369,2.952,1.157,1.608,4.0,1.34,3.333,1.4880000000000002,1.808,4.235,1.381,3.235,1.3430000000000002,1.379,2.952,1.324,3.278,1.357,3.1180000000000003,1.045,2.238,1.379,2.952,1.099,2.722,1.324,3.278,1.0759999999999998,2.471,1.357,3.1180000000000003
1,107030483F,1575.23963413,"LINESTRING (1585468.856616721 183780.7696684003, 1585555.457821473 183857.0641352236, 1585771.955091894 184045.9807521403, 1585861.435884058 184122.2699696422, 1585936.479369134 184184.0231269747, 1586040.366300464 184260.2834731489, 1586129.808378801 184318.3660341501, 1586196.154374719 184354.6464733928, 1586285.558723465 184394.5213936418, 1586366.296422884 184423.4898396432, 1586444.145348549 184448.8224661499, 1586545.03753522 184470.467107892, 1586634.396608472 184488.4939747304, 1586729.510919556 184502.8676336408, 1586818.862446889 184517.253431648)",F,31.935,42.87,13.357999999999999,14671,13.956,10.833,31.031,41.938,13.047,12514,17.107,10.644,37.196999999999996,47.032,2012,6.7170000000000005,10.401,30.46,33.55,41.006,12.425999999999998,11521,26.999000000000002,10.465,33.231,14.911,33.231,1813,19.827,10.597999999999999,31.711,13.669,31.711,6102,33.366,10.004,25.136,9.941,25.136,2895,31.66,9.536,1.337,3.0,1.318,2.958,1.244,1.379,3.1860000000000004,1.3030000000000002,3.009,1.31,1.676,4.4719999999999995,1.42,3.7889999999999997,1.6680000000000001,1.3090000000000002,2.917,1.3130000000000002,3.045,1.3840000000000001,3.5,1.103,2.458,1.3090000000000002,2.917,1.097,2.545,1.3130000000000002,3.045,1.075,2.719,1.3840000000000001,3.5
2,107030484F,1918.94090487,"LINESTRING (1584039.8224013 182501.9238009006, 1584189.934633881 182629.0613418967, 1584322.701756805 182730.7451936454, 1584458.372745305 182843.3483148962, 1584637.357295468 182999.5602728128, 1584775.937726974 183126.7253728062, 1584992.48420988 183333.8433968872, 1585168.618700132 183508.2731661499, 1585258.11819306 183591.8435370624, 1585353.387687549 183679.0441500545, 1585468.856616721 183780.7696684003)",F,30.458000000000002,41.626999999999995,12.425999999999998,14400,13.699000000000002,10.87,29.52,40.384,12.425999999999998,12303,16.817999999999998,10.712,35.989000000000004,44.111999999999995,1959,6.54,10.064,28.998,32.308,39.763000000000005,11.805,11393,26.699,10.569,28.879,12.425999999999998,28.879,1829,20.002,10.835,30.279,13.047,30.279,5962,32.601,10.469000000000001,25.732,9.941,25.732,2851,31.179000000000002,9.932,1.5190000000000001,3.6,1.382,3.275,1.37,1.44,3.429,1.34,3.1910000000000003,1.382,1.65,4.364,1.3980000000000001,3.697,1.645,1.3769999999999998,3.2,1.344,3.1189999999999998,1.3519999999999999,3.5,1.097,2.55,1.3769999999999998,3.2,1.129,2.6189999999999998,1.344,3.1189999999999998,1.087,2.812,1.3519999999999999,3.5
3,107030485T,1605.19097224,"LINESTRING (1585440.110283136 183813.6035922319, 1585555.585773975 183918.9711636454, 1585671.045516804 184017.0556131452, 1585772.075170383 184104.2460555583, 1585861.555634469 184180.5352730602, 1585939.48034738 184242.2825248986, 1586031.819073468 184307.6419742256, 1586083.751056224 184340.3098879009, 1586135.675493047 184369.3364046365, 1586190.48115772 184398.3573439717, 1586297.188293383 184445.4802812338, 1586357.74886781 184470.8480126411, 1586415.41312255 184488.9385276437, 1586524.964084551 184517.8485748172, 1586602.790044382 184532.2570105642, 1586692.141571715 184546.6424804777, 1586816.0766913 184564.5997936428)",T,30.712,41.626999999999995,12.425999999999998,15690,14.925999999999998,10.360999999999999,29.904,40.384,11.805,13497,18.451,10.18,35.635,45.355,2028,6.771,10.08,28.726999999999997,31.686,39.141999999999996,11.183,11318,26.523000000000003,10.089,29.127,12.425999999999998,29.127,2325,25.427,9.905,29.158,12.425999999999998,29.158,5637,30.823,9.687000000000001,26.164,8.698,26.164,2561,28.006999999999998,10.901,1.51,3.429,1.3419999999999999,3.048,1.271,1.489,3.445,1.355,3.134,1.3130000000000002,1.633,4.8,1.4509999999999998,4.266,1.94,1.344,3.15,1.357,3.185,1.472,4.428999999999999,1.088,2.55,1.344,3.15,1.1079999999999999,2.6,1.357,3.185,1.1159999999999999,3.3569999999999998,1.472,4.428999999999999
4,107030486T,1918.2067604,"LINESTRING (1583996.707330048 182552.9978457242, 1584184.317847222 182698.263631314, 1584395.009683058 182858.0484167337, 1584573.979141384 183006.9769246429, 1584666.36379914 183090.5394215584, 1584848.257464215 183261.3130301386, 1585059.02410306 183461.1607275605, 1585177.399522468 183573.8035468906, 1585272.676890969 183664.6455568075, 1585353.508750305 183737.3094534725, 1585440.110283136 183813.6035922319)",T,24.373,35.414,8.698,15577,14.818,10.463,24.26,34.793,8.698,13314,18.2,10.363,24.823,36.035,2107,7.035,11.015,23.057,25.473000000000003,32.929,8.077,11174,26.186,9.876,24.611,9.941,24.611,2062,22.55,10.347000000000001,23.435,8.698,23.435,5556,30.381,9.144,20.840999999999998,6.524,20.840999999999998,2734,29.899,10.552999999999999,1.786,4.5,1.4140000000000001,3.562,1.52,1.8969999999999998,4.965,1.381,3.614,1.617,2.144,6.857,1.54,4.9239999999999995,2.197,1.4140000000000001,3.5,1.379,3.714,1.55,4.952,1.06,2.625,1.4140000000000001,3.5,1.1,2.964,1.379,3.714,1.103,3.5239999999999996,1.55,4.952
5,107030487T,1404.78539249,"LINESTRING (1586816.0766913 184564.5997936428, 1587317.58487463 184640.0651938915, 1587689.394170389 184697.5893570632, 1588205.30389972 184773.0429463089)",T,31.936,40.695,17.396,16873,16.051,8.713,31.416,39.763000000000005,16.775,14557,19.9,8.642000000000001,35.174,43.49100000000001,2151,7.181,8.445,30.342,32.618,38.521,15.532,12271,28.756999999999998,8.429,30.825,17.086,30.825,2558,27.975,8.58,30.991,17.396,30.991,6140,33.574,8.095,27.75,11.183,27.75,2714,29.680999999999997,9.002,1.43,2.572,1.291,2.3209999999999997,0.7979999999999999,1.42,2.572,1.262,2.286,0.8109999999999999,1.558,3.6,1.32,3.05,1.311,1.29,2.327,1.263,2.25,1.321,3.278,1.048,1.891,1.29,2.327,1.073,1.911,1.263,2.25,1.097,2.722,1.321,3.278
6,107030488F,1401.39313232,"LINESTRING (1586818.862446889 184517.253431648, 1587219.487957969 184574.712962389, 1587700.818032056 184646.5845378041, 1588205.20383431 184722.0607648045)",F,31.608,42.248000000000005,14.787,15513,14.757,10.212,30.85,41.006,14.29,13240,18.099,10.072000000000001,35.959,45.541000000000004,2129,7.108,9.917,30.345,32.929,40.384,14.29,12106,28.37,9.825,33.14,18.018,33.14,1889,20.658,9.506,31.613000000000003,16.154,31.613000000000003,6459,35.318000000000005,9.161,25.074,10.562000000000001,25.074,2995,32.754,9.436,1.3430000000000002,2.483,1.287,2.379,0.8490000000000001,1.393,2.7689999999999997,1.2830000000000001,2.55,0.988,1.695,4.235,1.401,3.5,1.4980000000000002,1.294,2.379,1.2770000000000001,2.5,1.383,3.282,1.0759999999999998,1.979,1.294,2.379,1.081,2.115,1.2770000000000001,2.5,1.065,2.529,1.383,3.282
7,107034547T,1383.38985704,"LINESTRING (1589582.970107645 184974.2977931499, 1589897.122694552 185021.0388413966, 1590041.229361728 185042.6142575592, 1590144.997526884 185064.2671013921, 1590280.487413391 185100.4268059731, 1590404.465511888 185143.8919421434, 1590542.890431881 185209.1801973879, 1590658.27832447 185281.795865804, 1590857.378648058 185438.0117607266)",T,31.006,40.384,14.29,16693,15.88,9.391,30.728,39.763000000000005,14.29,14396,19.68,9.249,32.49,41.626999999999995,2136,7.131,10.137,29.704,32.308,38.521,13.669,12157,28.489,9.005,30.454,14.29,30.454,2586,28.281,9.192,29.941999999999997,14.29,29.941999999999997,6074,33.213,8.725,28.138,11.805,28.138,2643,28.904,9.398,1.46,3.13,1.298,2.783,1.1440000000000001,1.474,3.13,1.2890000000000001,2.739,1.124,1.568,3.7889999999999997,1.328,3.21,1.4169999999999998,1.285,2.739,1.287,2.696,1.347,3.21,1.081,2.3040000000000003,1.285,2.739,1.1,2.3040000000000003,1.287,2.696,1.1,2.6210000000000004,1.347,3.21
8,107373569T,1392.2886532,"LINESTRING (1588205.30389972 184773.0429463089, 1589582.970107645 184974.2977931499)",T,33.782,41.938,19.882,16597,15.789000000000001,8.216000000000001,33.243,41.006,19.882,14301,19.55,8.109,37.099000000000004,44.733999999999995,2135,7.127999999999999,8.086,32.356,34.482,40.074,19.26,12033,28.199,7.92,32.556999999999995,19.882,32.556999999999995,2549,27.875999999999998,8.207,32.68,19.882,32.68,6012,32.874,7.553999999999999,30.735,16.154,30.735,2618,28.631,8.459,1.359,2.25,1.246,2.062,0.6559999999999999,1.3419999999999999,2.182,1.23,2.0,0.626,1.42,2.667,1.262,2.37,0.878,1.25,2.0469999999999997,1.236,2.031,1.274,2.423,1.05,1.719,1.25,2.0469999999999997,1.065,1.75,1.236,2.031,1.092,2.077,1.274,2.423
9,107373570F,1396.22434127,"LINESTRING (1588205.20383431 184722.0607648045, 1589585.767674223 184930.5934842229)",F,28.686,39.141999999999996,13.047,15812,15.042,10.002,28.160999999999998,38.521,12.425999999999998,13493,18.445,9.896,31.703000000000003,42.248000000000005,2178,7.272,10.027000000000001,27.415,29.822,37.278,12.425999999999998,12349,28.939,9.505,30.215999999999998,16.775,30.215999999999998,1906,20.844,9.363,28.994,14.725,28.994,6554,35.838,8.73,21.756999999999998,9.941,21.756999999999998,3082,33.705,8.594,1.4709999999999999,2.667,1.328,2.407,0.813,1.528,3.0,1.305,2.563,0.963,1.972,4.5,1.3969999999999998,3.187,1.2819999999999998,1.337,2.407,1.307,2.574,1.371,3.0,1.0490000000000002,1.889,1.337,2.407,1.071,2.11,1.307,2.574,1.057,2.312,1.371,3.0
